timeslice,偏见,欺凌,精神病,创伤,分裂,阴谋,主权,恐怖主义
1979,0.7388825416564941,0.6154441237449646,0.7224479913711548,0.5789793729782104,0.6171655654907227,0.568890392780304,0.6821325421333313,0.6553835868835449
1980,0.6378300189971924,0.6177603006362915,0.6205849051475525,0.567194938659668,0.6374630331993103,0.5832078456878662,0.6814841628074646,0.6843584775924683
1981,0.7146318554878235,0.5771275758743286,0.6380487680435181,0.6206873059272766,0.601504921913147,0.6026458144187927,0.7150983214378357,0.7039122581481934
1982,0.6913439035415649,0.5992581248283386,0.6541212797164917,0.6188662052154541,0.6059178709983826,0.6255767345428467,0.673035740852356,0.6787751913070679
1983,0.6259105801582336,0.6413085460662842,0.6774231791496277,0.5818487405776978,0.6554402709007263,0.5959015488624573,0.6732523441314697,0.6844258904457092
1984,0.6222571730613708,0.5874021649360657,0.6089928150177002,0.6658709645271301,0.6315625309944153,0.6704745888710022,0.7128000259399414,0.6997687816619873
1985,0.6457430720329285,0.5883544087409973,0.7112457156181335,0.6721757054328918,0.6051605343818665,0.6335447430610657,0.7022401094436646,0.7095009088516235
1986,0.6928043365478516,0.5946397185325623,0.6746128797531128,0.6597661972045898,0.5714722871780396,0.6383059024810791,0.6861698031425476,0.6799708604812622
1987,0.7091208100318909,0.5735577344894409,0.64727783203125,0.6698986887931824,0.6415929794311523,0.66167813539505,0.6919458508491516,0.7448055744171143
1988,0.7279454469680786,0.556281328201294,0.6552814245223999,0.649451732635498,0.629729151725769,0.6749182343482971,0.6809561252593994,0.7006040811538696
1989,0.7716324925422668,0.5409082174301147,0.6171934008598328,0.6157928705215454,0.6247813105583191,0.6142200231552124,0.6928311586380005,0.7354663610458374
1990,0.7292335033416748,0.5346083641052246,0.6523208022117615,0.6541774272918701,0.6558957099914551,0.6225475072860718,0.7241477370262146,0.7311879396438599
1991,0.7076931595802307,0.5471217632293701,0.6386958360671997,0.6789731979370117,0.6260015964508057,0.6455386281013489,0.6754045486450195,0.7113279104232788
1992,0.7306138277053833,0.5201827883720398,0.6694945693016052,0.6727458834648132,0.6069628000259399,0.7383209466934204,0.6581261157989502,0.7630696296691895
1993,0.7534002065658569,0.5457596182823181,0.6018180847167969,0.714759349822998,0.6457052826881409,0.7364084720611572,0.6753666996955872,0.7155817747116089
1994,0.7646714448928833,0.592023491859436,0.6337173581123352,0.7110763192176819,0.6500616073608398,0.7055858969688416,0.6999192237854004,0.7642817497253418
1995,0.7505035996437073,0.5270766615867615,0.634900689125061,0.6995588541030884,0.6255019307136536,0.6262391209602356,0.6695871949195862,0.7356694936752319
1996,0.7629232406616211,0.5660308003425598,0.6324447393417358,0.6717213988304138,0.6237106323242188,0.5810912847518921,0.6757769584655762,0.7328782081604004
1997,0.7441192865371704,0.534765362739563,0.6465709805488586,0.6867743730545044,0.6428931355476379,0.6858345866203308,0.6728222370147705,0.7535675168037415
1998,0.7524158954620361,0.5593279600143433,0.6302889585494995,0.7194423079490662,0.6456044912338257,0.6415269374847412,0.7050140500068665,0.7404930591583252
1999,0.7383390069007874,0.5273412466049194,0.6209073662757874,0.6542243361473083,0.6326828002929688,0.6948160529136658,0.6676390171051025,0.769196629524231
2000,0.7430316209793091,0.5799276828765869,0.6793258190155029,0.6601200699806213,0.6592534780502319,0.6571682691574097,0.6833602786064148,0.7613903880119324
2001,0.7610203623771667,0.6172042489051819,0.6502875089645386,0.7126001715660095,0.6627891063690186,0.6447104811668396,0.7345961332321167,0.6739499568939209
2002,0.7670240998268127,0.5185940265655518,0.6313387751579285,0.7157021164894104,0.6454910635948181,0.6897485256195068,0.7033103108406067,0.7103615403175354
2003,0.7521991729736328,0.4915168583393097,0.6154927611351013,0.7417722344398499,0.6368988156318665,0.7130029797554016,0.6924730539321899,0.7157384157180786
2004,0.6491343379020691,0.4960959851741791,0.5622128844261169,0.6241582632064819,0.5650161504745483,0.5603128671646118,0.636577308177948,0.6702240109443665
2005,0.7584788799285889,0.5595581531524658,0.6394045352935791,0.7195526957511902,0.6517239809036255,0.6766377687454224,0.7187215685844421,0.7433391213417053
2006,0.7300063967704773,0.5288702249526978,0.6553048491477966,0.694780170917511,0.665744960308075,0.6511235237121582,0.7128673195838928,0.7000458836555481
2007,0.746458888053894,0.5293442010879517,0.6727609038352966,0.6293242573738098,0.6707403659820557,0.6410425901412964,0.6846987009048462,0.7196191549301147
2008,0.7286545634269714,0.6172112822532654,0.6059592962265015,0.6618116497993469,0.676104724407196,0.6868135929107666,0.6580957770347595,0.7249637246131897
2009,0.7819160223007202,0.696359395980835,0.6830639243125916,0.6356483101844788,0.6918169260025024,0.6110069155693054,0.6560842990875244,0.7329657077789307
2010,0.7487930655479431,0.5944520831108093,0.6292277574539185,0.6124687194824219,0.6586634516716003,0.6454624533653259,0.6319607496261597,0.7074384689331055
2011,0.7590624094009399,0.6364238858222961,0.6029388904571533,0.7019056677818298,0.6271141171455383,0.7086463570594788,0.6097709536552429,0.7164140343666077
2012,0.769896388053894,0.5542241334915161,0.6043711304664612,0.6857810020446777,0.6287435293197632,0.6355000734329224,0.6316726803779602,0.7339224219322205
2013,0.6947583556175232,0.5000609755516052,0.5408778786659241,0.7321491837501526,0.6530159115791321,0.7071093320846558,0.6390663981437683,0.7419437170028687
2014,0.7298043966293335,0.6332228183746338,0.6231167912483215,0.7528661489486694,0.6619659066200256,0.7389242649078369,0.6819804906845093,0.73668372631073
2015,0.7436992526054382,0.758527398109436,0.6085923314094543,0.7628124356269836,0.6695912480354309,0.6528919339179993,0.6668745875358582,0.7278276085853577
2016,0.7124062180519104,0.670818030834198,0.634425699710846,0.6700831055641174,0.7046215534210205,0.6940531730651855,0.6462646126747131,0.7441346049308777
2017,0.7511301040649414,0.6919509172439575,0.7207203507423401,0.7546519637107849,0.6444797515869141,0.6821562647819519,0.694955050945282,0.7354910969734192
2018,0.7541224360466003,0.7071273922920227,0.6000973582267761,0.7729095220565796,0.6812055706977844,0.7090356945991516,0.6874409317970276,0.7383516430854797
2019,0.7663543820381165,0.7307866811752319,0.6746755242347717,0.7461640238761902,0.7048646211624146,0.7762458920478821,0.7326107621192932,0.6973423957824707
2020,0.7507122159004211,0.7324680089950562,0.6592612266540527,0.724616289138794,0.6663259863853455,0.7655675411224365,0.7251268625259399,0.7253074645996094
2021,0.7918429374694824,0.7392938137054443,0.755595862865448,0.7435889840126038,0.7381423711776733,0.7014783620834351,0.7531004548072815,0.7453720569610596
2022,0.7998113632202148,0.746331512928009,0.7930570921115483,0.8094190359115601,0.7721778750419617,0.7443623542785645,0.724988579750061,0.7877126336097717
2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
